"","PlayerName","pos","points","value"
"1","Aaron Rodgers","qb",395.586,88.4882674987608
"2","Adrian Peterson","rb",201.42,77.6083242374044
"3","Cam Newton","qb",384.832,77.3694886493238
"4","Antonio Brown","wr",146.74,75.2458163639654
"5","Todd Gurley","rb",198.005,74.0774864309298
"6","Russell Wilson","qb",374.956,67.1584918186522
"7","Odell Beckham Jr.","wr",138.855,67.0933548400847
"8","Jamaal Charles","rb",190.29,66.1007913571519
"9","Julio Jones","wr",132.535,60.5589785774436
"10","David Johnson","rb",183.78,59.3699702385136
"11","Andrew Luck","qb",366.98,58.9119435479519
"12","Lamar Miller","rb",181.915,57.4417088888577
"13","Rob Gronkowski","te",114.95,57.147041604862
"14","DeAndre Hopkins","wr",128.56,56.4491454059248
"15","Ezekiel Elliott","rb",172.825,48.0433734098374
"16","Dez Bryant","wr",120.155,47.7590453287889
"17","Drew Brees","qb",356.022,47.5822449583915
"18","Le'Veon Bell","rb",170.18,45.3086542302985
"19","A.J. Green","wr",116.775,44.2643947326296
"20","Jordy Nelson","wr",114.615,42.0311268960307
"21","Eddie Lacy","rb",164.77,39.7151454358541
"22","LeSean McCoy","rb",164.065,38.9862316280753
"23","Devonta Freeman","rb",162.295,37.1561927064179
"24","Doug Martin","rb",161.83,36.6754197693723
"25","Allen Robinson","wr",109.28,36.5151621236904
"26","Alshon Jeffery","wr",108.915,36.137781216117
"27","Mark Ingram","rb",160.26,35.0521649066592
"28","Thomas Rawls","rb",158.4,33.1290731584769
"29","Brandon Marshall","wr",105.195,32.2915977197523
"30","Sammy Watkins","wr",104.38,31.4489526795541
"31","Ben Roethlisberger","qb",340.088,31.1077589822959
"32","Mike Evans","wr",103.93,30.9836885469293
"33","T.Y. Hilton","wr",103.875,30.9268229307196
"34","Brandin Cooks","wr",103.055,30.0790082890478
"35","Randall Cobb","wr",100.625,27.5665819728741
"36","Greg Olsen","te",86.065,27.2822538918256
"37","Jordan Reed","te",84.965,26.1449415676318
"38","Demaryius Thomas","wr",98.515,25.3850101510113
"39","Carson Palmer","qb",334.408,25.2350917082766
"40","Keenan Allen","wr",98.33,25.1937348964878
"41","C.J. Anderson","rb",150.68,25.1472084832253
"42","Amari Cooper","wr",97.015,23.8341297089288
"43","Doug Baldwin","wr",95.07,21.8231547356951
"44","Kelvin Benjamin","wr",94.98,21.7301019091701
"45","Eric Decker","wr",94.74,21.4819610384369
"46","Jeremy Maclin","wr",94.075,20.794404042447
"47","Carlos Hyde","rb",145.47,19.7604837477253
"48","Blake Bortles","qb",327.998,18.6076626191105
"49","Jonathan Stewart","rb",144.01,18.2509601174316
"50","Latavius Murray","rb",143.575,17.8012047892276
"51","Michael Floyd","wr",90.74,17.3462798595501
"52","Julian Edelman","wr",89.285,15.84192583073
"53","Eli Manning","qb",324.79,15.2908463136433
"54","Jarvis Landry","wr",88.405,14.9320759713749
"55","Larry Fitzgerald","wr",87.635,14.1359573444392
"56","Jeremy Hill","rb",139.83,13.9291732854949
"57","Philip Rivers","qb",323.424,13.8785111910535
"58","Delanie Walker","te",72.665,13.4277219425548
"59","Golden Tate","wr",86.89,13.3656867248716
"60","Jordan Matthews","wr",86.43,12.8900833892995
"61","Matt Forte","rb",138.575,12.6316033156192
"62","Coby Fleener","te",71.69,12.4196496552012
"63","DeMarco Murray","rb",138.03,12.0681167549958
"64","Travis Kelce","te",71.16,11.8716718989987
"65","DeSean Jackson","wr",84.675,11.075553272063
"66","Donte Moncrief","wr",82.625,8.9560166678835
"67","Tyler Eifert","te",68.155,8.76474141335997
"68","Antonio Gates","te",67.815,8.41320851315459
"69","John Brown","wr",81.965,8.27362927336716
"70","Emmanuel Sanders","wr",81.545,7.83938274958405
"71","Gary Barnidge","te",66.94,7.5085282552731
"72","Matt Jones","rb",133.11,6.98122890496505
"73","Allen Hurns","wr",80.5,6.75893604159987
"74","Ladarius Green","te",64.93,5.43034846288249
"75","Michael Crabtree","wr",78.87,5.0736459612035
"76","Devante Parker","wr",78.865,5.06847635972988
"77","Jimmy Graham","te",63.495,3.94667283995684
"78","Ryan Mathews","rb",129.865,3.62615754859313
"79","Jeremy Langford","rb",128.92,2.64910287008113
"80","Kirk Cousins","qb",311.308,1.35153290020535
"81","Tony Romo","qb",310.968,1
"82","Frank Gore","rb",127.325,1
"83","Stefon Diggs","wr",74.93,1
"84","Jason Witten","te",60.645,1
"85","Stephen Gostkowski","k",0,1
"86","Mason Crosby","k",0,1
"87","Steven Hauschka","k",0,1
"88","Justin Tucker","k",0,1
"89","Graham Gano","k",0,1
"90","Chris Boswell","k",0,1
"91","Dan Bailey","k",0,1
"92","Chandler Catanzaro","k",0,1
"93","Josh Brown","k",0,1
"94","Blair Walsh","k",0,1
"95","Brandon McManus","k",0,1
"96","Adam Vinatieri","k",0,1
"97","Cairo Santos","k",0,1
"98","Mike Nugent","k",0,1
"99","Robbie Gould","k",0,1
"100","Dan Carpenter","k",0,1
"101","Matt Prater","k",0,1
"102","Nick Novak","k",0,1
"103","Matt Bryant","k",0,1
"104","Nick Folk","k",0,1
"105","Dustin Hopkins","k",0,1
"106","Sebastian Janikowski","k",0,1
"107","Jason Myers","k",0,1
"108","Roberto Aguayo","k",0,1
"109","Josh Lambo","k",0,1
"110","Phil Dawson","k",0,1
"111","Greg Zuerlein","k",0,1
"112","Andrew Franks","k",0,1
"113","Travis Coons","k",0,1
"114","Caleb Sturgis","k",0,1
"115","Cody Parkey","k",0,1
"116","Ryan Succop","k",0,1
"117","Kai Forbath","k",0,1
"118","Shaun Suisham","k",0,1
"119","Connor Barth","k",0,1
"120","Tom Obarski","k",0,1
